school,department,Chinese,English,Math,Social,Science,ID,Listening
臺灣大學,中國文學系,前,均,均,均,,1,
臺灣大學,歷史學系,前,頂,,前,,2,
臺灣大學,醫學系,頂,頂,頂,,頂,3,
臺灣大學,牙醫學系,頂,頂,頂,,頂,4,
臺灣大學,會計學系,頂,頂,頂,,,5,
臺灣大學,電機工程學系,,頂,頂,,頂,6,
臺灣大學,資訊工程學系,,頂,頂,,頂,7,
臺灣大學,哲學系,前,前,前,,,8,
臺灣大學,心理學系,均,均,均,,均,9,
臺灣大學,經濟學系,,,前,,,10,
國立成功大學,化學系,,前,前,,前,11,
國立成功大學,數學系,後,均,前,,均,12,
國立成功大學,資訊工程學系,均,均,前,,前,13,
國立成功大學,航空太空工程學系,,前,前,,前,14,
國立成功大學,醫學系,頂,頂,頂,,頂,15,
國立成功大學,牙醫學系,頂,頂,頂,,前,16,
國立成功大學,政治學系,前,前,均,前,,17,
國立成功大學,護理學系,均,均,,,均,18,
國立成功大學,電機工程學系,,均,前,,前,19,
國立成功大學,生命科學系,均,均,均,,前,20,
輔仁大學,哲學系,後,,,,,21,
輔仁大學,新聞傳播學系,均,均,,均,,22,
輔仁大學,醫學系,頂,頂,頂,,頂,23,
輔仁大學,化學系,,後,,,均,24,
輔仁大學,臨床心理學系,後,後,後,,後,25,
輔仁大學,資訊工成學系,,,後,,,26,
輔仁大學,西班牙語文學系,均,均,,均,,27,
輔仁大學,營養科學系,均,均,,均,,28,
輔仁大學,法律學系,均,前,,,,29,
輔仁大學,心理學系,後,後,後,,,30,
國立彰化師範大學,英語學系,前,頂,,均,,31,
國立彰化師範大學,資訊工程學系,,均,均,,均,32,
國立彰化師範大學,會計學系,均,均,均,,,33,B
國立彰化師範大學,特殊教育學系,均,均,均,,,34,B
國立彰化師範大學,企業管理學系,均,前,前,,,35,B
國立彰化師範大學,數學系,,,前,,,36,
國立彰化師範大學,輔導與諮商學系學校府到與諮商組,前,前,均,均,,37,
國立彰化師範大學,公共事務與公民教育學系公共事務組,前,前,均,前,,38,
國立彰化師範大學,生物學系,均,均,,,均,39,
國立彰化師範大學,地理學系,,均,均,均,,40,
大葉大學,資訊管理學系,,底,,,,41,
大葉大學,資訊工程學系,,,底,,,42,
大葉大學,英語學系,,底,,,,43,
大葉大學,應用日文學系,,底,,,,44,
大葉大學,護理學系,,底,,,,45,
大葉大學,醫學工程學系,,,底,,,46,
大葉大學,休閒事業管理學系,底,,,,,47,
大葉大學,生物醫學系,,,底,,,48,
大葉大學,財務金融學系,,底,,,,49,
大葉大學,餐旅管理學系,,,,底,,50,
